adm3_name,ACS_Code,Mean annual hot days,Forest fire risk,Annual Dry Spell Length
Deir Khouna,21337,28.1339668175893,51.0,1.10277101266151
Aabadiyeh,21341,28.8424908424908,72.666667,0.608058608058608
Qrayet Baabda,21344,29.2142857142857,62.0,0.238095238095238
Chmeisset Baabda,21347,28.8809523809524,51.0,1.0952380952381
Ras El Matn,21351,28.2724867724868,72.5,0.412698412698413
Chouit,21354,27.4920634920635,72.666667,0.904761904761905
Qobbayaa,21357,29.9166666666667,62.0,0.238095238095238
Qordata,21361,28.8253968253968,72.5,0.603174603174603
Qsaibeh Baabda,21364,28.4047619047619,72.5,0.535714285714286
Deir El-harf,21367,28.031746031746,51.0,0.0952380952380952
Aaraiya,21371,26.7380952380952,72.666667,1.49206349206349
Zandouqa,21374,28.1190476190476,72.5,0.666666666666667
Kneisset Baabda,21377,28.0,72.5,0.412698412698413
Aarbaniyeh,21381,27.5714285714286,72.5,0.476190476190476
Dlaybeh,21391,27.4047619047619,72.5,0.523809523809524
Salima Baabda,21394,27.4625850340136,72.5,0.238095238095238
Hasbaiya El-Matn,21397,26.8571428571429,72.5,0.30952380952381
Hammana,21411,29.5457875457875,43.0,0.032967032967033
Qalaat Baabda,21416,28.9672473751983,51.0,0.113779325563528
Khalouat Baabda,21421,28.3903953250186,51.0,0.0488563281200817
Chbaniyeh,21426,30.2142857142857,62.0,0.126984126984127
Khreibet Baabda,21431,29.8095238095238,51.0,0.238095238095238
Bmaryam,21436,29.4444444444444,51.0,0.603174603174603
Btekhnay,21441,28.5714285714286,51.0,0.171428571428571
Falougha,21446,27.9214285714286,28.0,0.00238095238095238
Btibyat,21451,28.6825396825397,51.0,0.333333333333333
Qornayel,21456,27.5311355311355,51.0,0.0476190476190476
Jouar El-Haouz,21461,27.2222222222222,72.5,0.0317460317460317
Bzebdine,21466,26.8571428571429,72.5,0.238095238095238
Arsoun,21471,27.6190476190476,51.0,0.19047619047619
Kfar Selouane,21476,26.6649029982363,50.0,0.00529100529100529
Tarchich,21481,25.5164835164835,50.0,0.00732600732600733
Jouret Arsoun,21487,27.8464869143731,51.0,0.114543462002782
Litige,22001,27.7619047619048,94.0,0.0
Litige,22002,26.2380952380952,94.0,0.0
Bourj Hammoud,22111,25.8214285714286,47.0,2.70238095238095
Sinn El-Fil,22155,24.9365079365079,48.333333,2.84126984126984
Jdaidet El-Matn,22211,28.3571428571429,94.0,2.5
Baouchriyeh,22228,27.4761904761905,94.0,2.75510204081633
Deir mar Roukoz,22245,26.9285714285714,94.0,1.94047619047619
Dekouaneh,22262,26.0714285714286,94.0,2.95238095238095
Mkalles,22279,25.8571428571429,72.5,2.5952380952381
Antelias,22311,28.4126984126984,94.0,2.23809523809524
Menqlet Mezher,22319,28.3164199150252,94.0,1.86336299225055
Jall Ed-Did,22327,28.6187834580097,94.0,2.56825877273118
Naqqach,22335,28.4285714285714,94.0,1.86904761904762
Aamaret Chalhoub,22343,28.6190476190476,94.0,3.0
Zalqa,22351,28.620271093098,94.0,2.63786904983072
Byaqout,22359,28.480893707913,94.0,1.75015892074401
Mazraat El-Hdaira,22367,28.3809523809524,94.0,1.30952380952381
Dbayeh,22375,28.6190476190476,94.0,2.38095238095238
Haret El-Ballane,22383,28.3571428571429,94.0,1.35714285714286
Mazraat Deir Aaoukar,22391,28.3809523809524,94.0,1.58256153892212
Mansouriyet El-Matn,22411,26.6507936507937,72.5,2.01587301587302
Daychouniyeh,22415,26.7142857142857,72.5,2.5
Fanar,22419,27.7936507936508,94.0,1.63492063492064
Aain Saadeh,22423,27.7380952380952,94.0,0.791666666666667
Roumieh,22427,28.1507936507936,94.0,0.753968253968254
Bqennaya,22431,28.4716152576134,94.0,1.7664578513043
Majzoub,22435,28.2380952380952,94.0,1.38095238095238
Bsalim,22439,28.1666666666667,94.0,1.0
Nabay,22443,27.3452380952381,94.0,0.607142857142857
Mtayleb,22447,28.3023880981844,94.0,0.78774875673206
Beit El-Kekko,22451,26.9289409821197,94.0,0.251157149176858
Qornet Chehouane,22455,27.3945578231292,94.0,0.428571428571429
Beit Ech-Chaar,22459,28.1666666666667,94.0,0.761904761904762
Dik El-Mehdi,22463,28.0083242126652,94.0,0.748491770734054
Zouk El-Kharab,22467,28.4166666666667,84.0,1.48809523809524
Aain Aar,22471,26.9831116264282,94.0,0.129201411485342
Mazraat Yachouaa,22475,27.2222222222222,94.0,0.476190476190476
Deir Tamich,22479,28.1942743203312,84.0,1.05633998452157
Zakrit,22483,27.2802612914331,94.0,0.946899798950131
Deir Mar Aabda el Mchammar,22487,27.6474686227905,84.0,1.41157350175908
Bikfaya,22511,26.9333333333333,94.0,0.019047619047619
Mhaidset Matn,22515,26.6190476190476,94.0,0.0
Ouadi Chahine,22519,26.8342378292801,94.0,0.110913993848644
Aain El-Qach,22523,26.0817589825134,94.0,0.0306483707714868
Mar Boutros Karm Et-Tine,22527,27.1827120790597,84.0,0.205521077914502
Beit Chabab,22531,27.1047619047619,84.0,0.180952380952381
Bhersaf,22535,27.1547619047619,94.0,0.0
Mayasseh,22539,26.6327062204557,84.0,0.278533579403289
Aain El-Kharroubeh,22543,25.7738890015936,94.0,0.0934786982965383
Himlaya,22547,25.015873015873,84.0,0.126984126984127
Aain Aalaq,22551,27.0714285714286,94.0,0.0952380952380952
Aatchaneh,22555,27.1428571428571,94.0,0.111111111111111
Chaouiyeh,22559,27.2857142857143,94.0,0.214285714285714
Aain Et-Teffaha,22563,24.8571428571429,94.0,0.0654251829984119
Sfeilet Bikfaya,22567,25.7814194089065,84.0,0.232615907515357
Fraikeh,22571,27.3727874553424,84.0,0.4459898994904
Abou Mizane,22575,24.873262581563,94.0,0.094259783226763
Deir Chamra,22579,24.8571428571429,84.0,0.126984126984127
Hbous,22583,27.1882473999511,94.0,0.253186862080989
Jouar El-Matn,22587,25.2380952380952,94.0,0.0317460317460317
Chrine,22591,25.0764349520729,94.0,0.0832502647960564
Qornet El-Hamra,22595,27.6031746031746,84.0,0.349206349206349
Broummana El-Matn,22611,27.5986394557823,72.5,0.244897959183673
Jouret El-Ballout,22619,26.9379176145514,94.0,0.233769699879177
Masqa,22627,28.2857142857143,72.5,0.404761904761905
Aayoun El-Matn,22635,28.2380952380952,72.5,0.476190476190476
Qennabet Broummana,22643,27.6666666666667,94.0,0.428571428571429
Mzakkeh,22651,27.2857142857143,94.0,0.126984126984127
Baabdat,22659,27.4489795918367,72.5,0.149659863945578
Beit Meri,22667,27.6825396825397,72.5,0.801587301587302
Dahr Es-Souane El-Matn,22675,27.4380952380952,94.0,0.0380952380952381
Qannebet Salima,22683,27.3531826461955,72.5,0.384666885268855
