ADM3_NAME,CODE_NEW,composite_score,coping1_pred,coping2_pred,coping3_pred,coping4_pred,coping5_pred,coping6_pred,coping7_pred,coping8_pred,coping9_pred,coping10_pred,coping11_pred,coping12_pred,coping97_pred,coping98_pred,coping99_pred,coping14_pred,CODE_min,CODE_max,ADM1_NAME_max,MOHAFAZA_1_max,ADM2_NAME_max
Haret El-Ballane,506050,0.126227477812773,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,"05","05",Mount Lebanon,5,El Metn
Zouk El-Kharab,506100,0.0931793502595397,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,"05","05",Mount Lebanon,5,El Metn
Zouk El-Kharab,506100,0.0931793502595397,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,"05","05",Mount Lebanon,5,El Metn
Haret El-Ballane,506050,0.126227477812773,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,"05","05",Mount Lebanon,5,El Metn
Aain SaadT,506008,0.067061153390583,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Beit Meri,506023,0.0833671399894302,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
BaouchriyT,506018,0.134402058029864,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
BaouchriyT,506018,0.134402058029864,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Majzoub,506064,0.088378728630421,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Jall Ed-Did,506053,0.130661090152852,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Menqlet Mezher,506075,0.0670260313051152,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Menqlet Mezher,506075,0.0670260313051152,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Qornet Chehouane,506090,0.0573135896749028,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Mazraat Yachouaa,506073,0.08040649921806,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,"05","05",Mount Lebanon,5,El Metn
Mazraat Yachouaa,506073,0.08040649921806,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,"05","05",Mount Lebanon,5,El Metn
Qornet El-Hamra,506091,0.0797966456787216,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Mazraat Yachouaa,506073,0.08040649921806,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,"05","05",Mount Lebanon,5,El Metn
Deir Tamich,506043,0.105479127322789,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,"05","05",Mount Lebanon,5,El Metn
Zouk Mousbeh,505080,0.0652592451794157,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,"05","05",Mount Lebanon,5,Kesrouane
Qornet El-Hamra,506091,0.0797966456787216,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Qornet El-Hamra,506091,0.0797966456787216,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Zouk Mousbeh,505080,0.0652592451794157,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,"05","05",Mount Lebanon,5,Kesrouane
Deir Mar Aabda el Mchammar,506042,0.0852420689557758,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,"05","05",Mount Lebanon,5,El Metn
Mazraat Er-Ras,505058,0.0548434808729303,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,"05","05",Mount Lebanon,5,Kesrouane
Mar Boutros Karm Et-Tine,506066,0.0840742578714758,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Aain El-KharroubT,506002,0.0663806952795917,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Aain El-KharroubT,506002,0.0663806952795917,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Aain El-KharroubT,506002,0.0663806952795917,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Balloune,505010,0.0536456361149396,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,Kesrouane
Balloune,505010,0.0536456361149396,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,Kesrouane
Beit Chabab,506020,0.0806697485842885,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Aajaltoun,505004,0.0505249429460911,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,Kesrouane
Sfeilet Bikfaya,506093,0.0751375385371212,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Qleiaat Kesrouane,505069,0.0507391478811541,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,Kesrouane
Beit Chabab,506020,0.0806697485842885,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
