lat,lon,status
33.704624,35.901787,potential
33.789482,35.819553,potential
33.792801,35.821972,potential
33.789497,35.819771,potential
33.812599,35.810871,potential
33.818199,35.81377,potential
33.679691,35.813034,potential
33.69416,35.844482,potential
33.723221,35.856346,potential
33.760201,35.881672,potential
33.752708,35.87114,potential
33.628498,35.79797,potential
33.618145,35.777294,potential
33.624901,35.823071,potential
33.625599,35.824772,potential
33.624763,35.822811,potential
33.65506,35.736259,potential
33.673698,35.826572,potential
33.672001,35.828171,potential
33.646698,35.88237,potential
33.649601,35.884972,potential
33.562492,35.375351,potential
33.562885,35.374691,potential
33.561234,35.381607,potential
33.555855,35.37233,potential
33.557396,35.373268,potential
33.563301,35.370369,potential
33.572968,35.380554,potential
33.568501,35.380318,potential
33.548618,35.381268,potential
33.556942,35.395992,potential
33.540459,35.404518,potential
33.534134,35.415199,potential
33.541794,35.395363,potential
33.536007,35.382019,potential
33.515255,35.366253,potential
33.511707,35.372295,potential
33.510006,35.445747,potential
33.504704,35.457054,potential
33.501575,35.477219,potential
33.518101,35.383804,potential
33.519085,35.385696,potential
33.519081,35.385971,potential
33.500149,35.403816,potential
33.482307,35.425179,potential
33.493259,35.427277,potential
33.493027,35.427395,potential
33.488647,35.438843,potential
33.503136,35.384811,potential
33.485077,35.369873,potential
33.462818,35.415443,potential
33.446049,35.382698,potential
33.448551,35.38089,potential
33.478096,35.344982,potential
33.47575,35.364346,potential
33.464584,35.349689,potential
33.403461,35.273628,potential
33.403549,35.273464,potential
33.415588,35.276711,potential
33.42664,35.288158,potential
33.436863,35.28038,potential
33.45153,35.3036,potential
33.448353,35.323025,potential
33.431816,35.343933,potential
33.416531,35.384686,potential
33.421692,35.363136,potential
33.423382,35.344299,potential
33.423515,35.344677,potential
33.435314,35.373196,potential
33.343468,35.321377,potential
33.340305,35.316563,potential
33.337196,35.308975,potential
33.340149,35.29763,potential
33.372532,35.301964,potential
33.544312,35.452667,potential
33.544987,35.446915,potential
33.550407,35.528656,potential
33.539326,35.581051,potential
33.539192,35.581291,potential
33.542767,35.584789,potential
33.448036,35.575428,potential
33.259815,35.213055,potential
33.260017,35.215805,potential
33.271881,35.220154,potential
33.274567,35.212055,potential
33.26218,35.229588,potential
33.314899,35.24707,potential
33.297318,35.281986,potential
33.29665,35.282455,potential
33.312851,35.270504,potential
33.289898,35.310604,potential
33.3134,35.301052,potential
33.300697,35.316704,potential
33.289883,35.34272,potential
33.273018,35.351719,potential
33.292217,35.350803,potential
33.303349,35.340572,potential
33.278481,35.392838,potential
33.251583,35.398319,potential
33.269032,35.409939,potential
33.248051,35.379669,potential
33.248333,35.378639,potential
33.285965,35.38567,potential
33.238533,35.339088,potential
33.236816,35.346439,potential
33.2467,35.322136,potential
33.229233,35.365505,potential
33.219067,35.346302,potential
33.252983,35.339252,potential
33.262833,35.379387,potential
33.276333,35.311253,potential
33.276451,35.311111,potential
33.269447,35.28677,potential
33.223465,35.306038,potential
33.254101,35.272369,potential
33.25423,35.274155,potential
33.260143,35.301529,potential
33.207798,35.293571,potential
33.210033,35.296238,potential
33.2034,35.326771,potential
33.2033,35.33387,potential
33.179001,35.31147,potential
33.174,35.29327,potential
33.162899,35.261272,potential
33.195301,35.27837,potential
33.203197,35.260471,potential
33.209499,35.25267,potential
33.222298,35.24987,potential
33.2202,35.23877,potential
33.223568,35.258686,potential
33.2323,35.268471,potential
33.2304,35.263569,potential
33.217766,35.272869,potential
33.1992,35.232971,potential
33.1726,35.214771,potential
33.154198,35.221069,potential
33.128799,35.215172,potential
